category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Sep 2021,0,0,0,0
2 Sep 2021,1137.875,11.5,2212.125,1268.5
3 Sep 2021,418.8,33.7,773.2,449.3
4 Sep 2021,1.4,0,2.2,2
5 Sep 2021,14.25,0,30.5,15.25
6 Sep 2021,1022.7941,42.2941,2057.3235,1154.3529
7 Sep 2021,1.5714,0,3.4286,2
8 Sep 2021,2.5,0.1667,8,0.3333
9 Sep 2021,12,0,31,10.6667
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,1094.7727,40.5455,2110.7273,1174.1818
14 Sep 2021,613.7083,23.5417,1227.375,662
15 Sep 2021,719.8333,20.0833,1463.2083,748.6667
16 Sep 2021,1001.8333,84.5,1878.75,1048.5833
17 Sep 2021,925.2917,62.5833,1709.4167,975.7917
18 Sep 2021,771.4583,44.0833,1481.875,807.9167
19 Sep 2021,779.8,39.8,1557.3,823.5
20 Sep 2021,760.4286,8.4286,1564,849.8571
21 Sep 2021,829.6842,23.6842,1609.0526,887.9474
22 Sep 2021,7.6667,6.3333,9.3333,7.6667
23 Sep 2021,1,1,1,1
24 Sep 2021,715.8,1.8,1535.8,798.6
25 Sep 2021,717.2,0.4,1534.8,763.5
26 Sep 2021,0,0,0,0
27 Sep 2021,1210.6667,63.1111,2237.7778,1292.5556
28 Sep 2021,952.45,94.15,1754.3,1011.75
29 Sep 2021,1351.8864,77.4545,2514.4318,1426.75
30 Sep 2021,0,0,0,0
