category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Sep 2021,0,0,0,0
2 Sep 2021,3.5714,0.1429,6,3.1429
3 Sep 2021,2.5,0,4.9,2.8
4 Sep 2021,1.6,0.2,2.6,1.4
5 Sep 2021,0.75,0,1.25,0.5
6 Sep 2021,4.8571,0.4571,8.8286,4.8857
7 Sep 2021,0.2857,0,0.8571,0.2857
8 Sep 2021,1.1667,0,2.5,1.5
9 Sep 2021,0,0,1,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,3.1818,0.1818,5.7273,3.0909
14 Sep 2021,1.6522,0.0435,3,1.8261
15 Sep 2021,2.5833,0,5.0417,2.625
16 Sep 2021,1.1667,0.0417,2.2083,1.25
17 Sep 2021,1.375,0.25,2.6667,1.25
18 Sep 2021,0.5833,0,1.1667,0.5417
19 Sep 2021,1.1,0,1.7,1.1
20 Sep 2021,1,0,1.7143,1
21 Sep 2021,2.6316,0.3684,4.6316,2.8421
22 Sep 2021,4.6667,0,7.6667,4.6667
23 Sep 2021,3,0,3,3
24 Sep 2021,0.4,0,0.8,0.4
25 Sep 2021,1,0,2,0.9
26 Sep 2021,0,0,0,0
27 Sep 2021,2.8889,0.3333,5.3333,3.3333
28 Sep 2021,2.4,0.15,4.55,2.55
29 Sep 2021,4.1556,0.4222,8.0889,4.3111
30 Sep 2021,0,0,0,0
