category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Sep 2021,0,0,0,0
2 Sep 2021,25441.1429,436.1429,50159.5714,25761
3 Sep 2021,27025.1,2229.6,51902.4,27611.5
4 Sep 2021,25045.6,3010.4,46034,25914.2
5 Sep 2021,26284,440,52679.5,26784.5
6 Sep 2021,29809.4,4631.3143,55179.3429,30287.0857
7 Sep 2021,25028.8571,478.5714,50165.2857,25821.1429
8 Sep 2021,24898.8333,354.5,49201,25358.8333
9 Sep 2021,25314.3333,454.3333,50219.6667,25131.3333
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,29551.5909,4566.8182,54551.3182,30171.9091
14 Sep 2021,27241.5652,3114.6957,50750.913,27913.2609
15 Sep 2021,27621.125,4053.2917,51224,28010.625
16 Sep 2021,28460.7083,4756,52187.5,28901.6667
17 Sep 2021,30004.7917,4756,55271.8333,30586.0417
18 Sep 2021,30163.2917,4756,55627.2083,30644.9167
19 Sep 2021,29128.7,4756,53560.1,29592.2
20 Sep 2021,30395.7143,4756,56107.7143,30895.8571
21 Sep 2021,28529.3158,4533.5263,52019.9474,29319.6316
22 Sep 2021,24341,1836.6667,48208,23449.6667
23 Sep 2021,30441,4756,57534,32812
24 Sep 2021,28732.6,4756,52549.4,29443.8
25 Sep 2021,28668.2,4756,52582.9,29284.2
26 Sep 2021,0,0,0,0
27 Sep 2021,29302.3333,4756,53797.8889,29833
28 Sep 2021,28268,4328.2,52421.3,28668.05
29 Sep 2021,29766.6222,4663.5111,54991.5556,30415.5111
30 Sep 2021,0,0,0,0
