category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Sep 2021,0,0,0,0
2 Sep 2021,2064.7143,294.8571,3435.4286,2098.7143
3 Sep 2021,704.9,124.9,1232.1,714.7
4 Sep 2021,144.8,11.8,247.4,149
5 Sep 2021,913,9.75,1768.75,977.25
6 Sep 2021,1604.3429,185.8857,2837.6571,1619
7 Sep 2021,158.8571,18,272,163.8571
8 Sep 2021,542.6667,11,1089.1667,530.5
9 Sep 2021,150,9.6667,254,152.3333
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,1416.9545,195.5,2507.0909,1476.1818
14 Sep 2021,1481.8696,218.6522,2568.7826,1530.3043
15 Sep 2021,1406.4583,207.0417,2387.0833,1469.25
16 Sep 2021,2028.375,277.9167,3600.2083,2069
17 Sep 2021,2028,220.4167,3590.2083,2083.0417
18 Sep 2021,2207.7917,369.625,3846.4167,2247.8333
19 Sep 2021,2101.6,256.7,3812.7,2109.1
20 Sep 2021,2002.5714,326.8571,3483,2071.8571
21 Sep 2021,1558,219.3684,2708.1579,1605.3684
22 Sep 2021,122.3333,10,222.3333,126
23 Sep 2021,490,11,913,592
24 Sep 2021,2085.4,262.6,3527,2189.2
25 Sep 2021,1803.3,316.6,3219.4,1842.8
26 Sep 2021,0,0,0,0
27 Sep 2021,1887.5556,257.6667,3260.7778,1909.5556
28 Sep 2021,1712.55,306.15,2968.2,1714.85
29 Sep 2021,1863.1556,212.9778,3249.1778,1883.6444
30 Sep 2021,0,0,0,0
