category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Sep 2021,0,0,0,0
2 Sep 2021,3299.1429,351.8571,5700.2857,3308.5714
3 Sep 2021,1095.7,203,1976.7,1102.4
4 Sep 2021,148.6,13.6,255.8,152
5 Sep 2021,1614.75,14,3213.25,1701.5
6 Sep 2021,2861.8,305.8571,5075.0571,2887.2857
7 Sep 2021,162.1429,20.8571,275.4286,164.8571
8 Sep 2021,844.5,13.5,1679.5,835.5
9 Sep 2021,148.3333,11.3333,243.3333,151.6667
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,2444.0909,298.0455,4361.0909,2549.9545
14 Sep 2021,2490.7391,344.3043,4347.3478,2573.087
15 Sep 2021,2338.7083,343,3954.9167,2456.0833
16 Sep 2021,3294.125,475.7083,5780.6667,3374.125
17 Sep 2021,3282.4167,360.9167,5770.7083,3368.9583
18 Sep 2021,3446.875,647.1667,5903.5833,3503.875
19 Sep 2021,3344,478.5,5913.5,3378.6
20 Sep 2021,3355.7143,563.5714,5815.4286,3477.4286
21 Sep 2021,2669.1579,356.2632,4647.3684,2751.3684
22 Sep 2021,117,11,208.3333,118.6667
23 Sep 2021,825,11,1547,978
24 Sep 2021,3524.6,473.4,5915.6,3698
25 Sep 2021,2996.6,553.3,5346.7,3055.2
26 Sep 2021,0,0,0,0
27 Sep 2021,3371.8889,464.1111,5841.6667,3405.8889
28 Sep 2021,2944.55,503.7,5142.1,2942.15
29 Sep 2021,3343.6667,372.0444,5844.7778,3378.6667
30 Sep 2021,0,0,0,0
