category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Sep 2021,0,0,0,0
2 Sep 2021,8956.875,186.375,17702.375,9681.875
3 Sep 2021,3903.2,348.7,7412.8,4191.4
4 Sep 2021,1365.2,130.8,2797.4,1409
5 Sep 2021,983,96.25,2043.75,1044
6 Sep 2021,9003.3824,597.3529,17652.7353,9722
7 Sep 2021,2433.5714,45.4286,6008.7143,2450.1429
8 Sep 2021,520.5,69,1089.6667,500.6667
9 Sep 2021,4271,40,8631.3333,4684.3333
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,10301.6364,777.2273,19652.7273,10797.0455
14 Sep 2021,8481.625,512.9167,17130.2083,8875.5
15 Sep 2021,7223.25,524.9167,14123.8333,7422.9167
16 Sep 2021,11225.4167,1626.4583,20675.3333,11602.4583
17 Sep 2021,10809.0833,1298.375,19723,11305.9583
18 Sep 2021,11130.6667,1458.8333,20471.0833,11476.0833
19 Sep 2021,11652.3,1810,21133.8,12362.4
20 Sep 2021,11063.1429,1311.2857,20665.7143,11688.1429
21 Sep 2021,9258.2105,953.6316,17555.2632,9509.3158
22 Sep 2021,1445.3333,162,3215,1334.6667
23 Sep 2021,3317,216,6765,3138
24 Sep 2021,10827.2,744.8,20818,11667
25 Sep 2021,8999.4,615.8,17622.4,9415.3
26 Sep 2021,0,0,0,0
27 Sep 2021,10758,1063.2222,20062.1111,11291.1111
28 Sep 2021,9515.65,961.3,17596.7,10065.4
29 Sep 2021,10601.3409,838.0227,19861.9773,11081.6591
30 Sep 2021,0,0,0,0
