category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Sep 2021,0,0,0,0
2 Sep 2021,4138624.875,102000,9017500,4380750
3 Sep 2021,3999176.8,334400,8541600,4197800
4 Sep 2021,4630201.8,359200,9150400,5127200
5 Sep 2021,3962408.5,234000,8443000,4197000
6 Sep 2021,4586576.4118,286941.1765,9857411.7647,4887176.4706
7 Sep 2021,3542027.5714,313142.8571,7616000,3707714.2857
8 Sep 2021,3424967.8333,280000,7774666.6667,3260000
9 Sep 2021,4116174.6667,269333.3333,8201333.3333,4400000
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,4673351.4091,294181.8182,9881272.7273,4738454.5455
14 Sep 2021,4377436.7917,268000,9244833.3333,4542500
15 Sep 2021,4337541.7917,232500,9193166.6667,4462250
16 Sep 2021,4769256.375,243833.3333,9909166.6667,4907166.6667
17 Sep 2021,4828516.2083,196500,9915666.6667,5119750
18 Sep 2021,4813411.0417,188333.3333,9906333.3333,4971000
19 Sep 2021,4871533.6,238400,9889200,5211200
20 Sep 2021,4708023.4286,347428.5714,9796000,4915714.2857
21 Sep 2021,4558632.0526,363157.8947,9549473.6842,4623473.6842
22 Sep 2021,4361723,348000,8902666.6667,4411333.3333
23 Sep 2021,4584000,252000,9544000,4096000
24 Sep 2021,4632915.8,212800,9876000,4902800
25 Sep 2021,4401657.7,186800,9725600,4559200
26 Sep 2021,0,0,0,0
27 Sep 2021,4873613.8889,410666.6667,10019555.5556,5052444.4444
28 Sep 2021,4630057.8,225400,9597200,4861400
29 Sep 2021,4738278.5227,297181.8182,9867636.3636,4821181.8182
30 Sep 2021,0,0,0,0
