category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Sep 2021,0,0,0,0
2 Sep 2021,7781.5,117.875,15471.375,8389
3 Sep 2021,3435.3,275.3,6598.5,3682.6
4 Sep 2021,1297,93.8,2739.6,1348.8
5 Sep 2021,899.5,59.5,1932.5,972.25
6 Sep 2021,7933.6471,496.7647,15565.0588,8540.5588
7 Sep 2021,2319,23,5868,2323.2857
8 Sep 2021,482.6667,40,1048.8333,461.6667
9 Sep 2021,4152,18.3333,8510.6667,4556.3333
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,9171.9545,663.0455,17528.3636,9608.0455
14 Sep 2021,7803.0833,418.4167,15845.2083,8166.7083
15 Sep 2021,6469.9583,444.7917,12625.3333,6641.375
16 Sep 2021,10205.3333,1454.375,18785.3333,10542.4167
17 Sep 2021,9867.0417,1152.6667,18004.3333,10319.625
18 Sep 2021,10345.625,1336.25,18981.4167,10659.9583
19 Sep 2021,10858.8,1695.7,19567.3,11531.1
20 Sep 2021,10271,1203.8571,19089.2857,10825.4286
21 Sep 2021,8397.2632,826.2105,15941.9474,8611
22 Sep 2021,1394,122.3333,3142.6667,1291.3333
23 Sep 2021,3216,118,6642,3032
24 Sep 2021,10072.6,676.2,19272.8,10858
25 Sep 2021,8239.3,513.8,16076.6,8641.4
26 Sep 2021,0,0,0,0
27 Sep 2021,9509.3333,915.3333,17806,9976.6667
28 Sep 2021,8535.75,797.15,15826.15,9036.8
29 Sep 2021,9214.7727,686.4773,17327,9633.9545
30 Sep 2021,0,0,0,0
