category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Sep 2021,0,0,0,0
2 Sep 2021,27040.8571,518.8571,53455,27283.4286
3 Sep 2021,28261.9,2249.8,54570.2,28952.5
4 Sep 2021,26290.2,3169.6,48063.2,27682.2
5 Sep 2021,26695.5,490.5,53022.25,27533.5
6 Sep 2021,32839.3429,5047.6571,60529.5429,33300.2286
7 Sep 2021,25739.1429,594,50868.7143,26415
8 Sep 2021,25838.6667,384.5,51348.5,26431.1667
9 Sep 2021,25559,589,50652,25527
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,30909.9091,4646.5455,57303.4091,31437.2727
14 Sep 2021,28081.087,3140.5217,52432.3913,28893.4783
15 Sep 2021,29313.5417,4061.7083,54481.5417,29662.4167
16 Sep 2021,28852.6667,4764.4167,53154.8333,29253.875
17 Sep 2021,30836.0417,5106,56727.9167,31340.5
18 Sep 2021,30216.6667,4756,55859.9167,30668.2083
19 Sep 2021,29246.2,4756,53741.7,29748
20 Sep 2021,30574.7143,4756,56490.5714,31093.2857
21 Sep 2021,30214.6842,4765.7895,54749.1053,31155.8947
22 Sep 2021,28763,1971.3333,56390.6667,29316.6667
23 Sep 2021,31779,4756,58841,32941
24 Sep 2021,28765,4756,52817.4,29461
25 Sep 2021,28835.1,4756,53224.4,29322.9
26 Sep 2021,0,0,0,0
27 Sep 2021,31077.4444,4950.8889,57243.8889,31838.6667
28 Sep 2021,29546.4,4497.15,54515.9,30079.65
29 Sep 2021,32332.2444,4986.9778,59852.3111,33077.4889
30 Sep 2021,0,0,0,0
