category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Sep 2021,0,0,0,0
2 Sep 2021,0,0,0,0
3 Sep 2021,2.1,1.9,2.1,2.1
4 Sep 2021,0,0,0,0
5 Sep 2021,0,0,0,0
6 Sep 2021,0.0294,0,0.0294,0.0294
7 Sep 2021,0,0,0,0
8 Sep 2021,0.1667,0.1667,0.1667,0.1667
9 Sep 2021,0,0,0,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,0,0,0.0455,0
14 Sep 2021,0.4583,0.0833,1.125,0.3333
15 Sep 2021,0.125,0,0.1667,0.1667
16 Sep 2021,0,0,0,0
17 Sep 2021,0,0,0,0
18 Sep 2021,0,0,0,0
19 Sep 2021,0,0,0,0
20 Sep 2021,0,0,0,0
21 Sep 2021,0.1053,0,0.1579,0.1579
22 Sep 2021,4,3,4,4
23 Sep 2021,3,3,3,3
24 Sep 2021,0,0,0,0
25 Sep 2021,0,0,0,0
26 Sep 2021,0,0,0,0
27 Sep 2021,0,0,0,0
28 Sep 2021,0,0,0,0
29 Sep 2021,0,0,0,0
30 Sep 2021,0,0,0,0
