category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Sep 2021,0,0,0,0
2 Sep 2021,0,0,0,0
3 Sep 2021,0.4,0.4,0.4,0.4
4 Sep 2021,0,0,0,0
5 Sep 2021,0,0,0,0
6 Sep 2021,0.1143,0.0286,0.1143,0.1143
7 Sep 2021,0,0,0,0
8 Sep 2021,0,0,0,0
9 Sep 2021,0,0,0,0
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,0,0,0,0
14 Sep 2021,0.0435,0,0.0435,0.0435
15 Sep 2021,0,0,0.0417,0
16 Sep 2021,0,0,0,0
17 Sep 2021,0,0,0,0
18 Sep 2021,0,0,0,0
19 Sep 2021,0,0,0,0
20 Sep 2021,0,0,0,0
21 Sep 2021,0.2632,0,0.4737,0.3158
22 Sep 2021,1.6667,0.3333,2.6667,1.3333
23 Sep 2021,2,2,2,2
24 Sep 2021,0,0,0,0
25 Sep 2021,0,0,0,0
26 Sep 2021,0,0,0,0
27 Sep 2021,0,0,0,0
28 Sep 2021,0,0,0,0
29 Sep 2021,0.0444,0,0.0444,0.0444
30 Sep 2021,0,0,0,0
