category,Maximum Download Bandwidth,Minimum Download Bandwidth,Maximum Upload Bandwidth,Minimum Upload Bandwidth
1 Sep 2021,0,0,0,0
2 Sep 2021,49.036667,12.578138,4.0018045712,0.8720365712
3 Sep 2021,22.911396,9.306578400000001,1.7528872,0.9470448
4 Sep 2021,7.7447376,5.2120207999999995,0.8883072,0.4674736
5 Sep 2021,8.754262,4.599486,1.098464,0.21182
6 Sep 2021,46.4471595296,13.094708,4.4197897144,1.5541721144
7 Sep 2021,14.473301714400002,1.7556125712,0.7767268568,0.1330662856
8 Sep 2021,4.4379093335999995,2.7091013336,0.94674,0.20420266639999998
9 Sep 2021,18.5022053336,2.3043946664,0.7928293336,0.335376
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,50.952370181599996,14.8754730912,5.0293621816,2.022283636
14 Sep 2021,43.4462146664,13.9469563336,5.040366608799999,2.4558667824
15 Sep 2021,47.930395,10.798224666400001,6.263291,4.6773483335999995
16 Sep 2021,93.0132503336,16.8724336664,11.155931,8.062290666400001
17 Sep 2021,88.4919796664,15.936719,11.8195256664,9.310066666400001
18 Sep 2021,90.5786163336,17.955681,14.3180803336,13.2544156664
19 Sep 2021,89.0304048,18.5359344,14.6867144,13.275
20 Sep 2021,56.7664125712,17.7301382856,9.0370137144,6.829448
21 Sep 2021,46.2384846312,14.7768311576,5.765992,4.5446593688000005
22 Sep 2021,9.7534666664,3.7666746664,2.145656,0.4599893336
23 Sep 2021,16.37144,10.490984,1.18412,0.842976
24 Sep 2021,57.0537712,18.1164336,9.6128992,9.6128992
25 Sep 2021,53.869871200000006,15.609704,8.1624544,7.224516
26 Sep 2021,0,0,0,0
27 Sep 2021,51.141798222400006,15.4308488888,4.785970666400001,1.7907226664
28 Sep 2021,63.012942,14.3556188,6.5818328,4.0950232
29 Sep 2021,55.3775987272,15.279263091199999,4.5450784,1.1693598224
30 Sep 2021,0,0,0,0
