category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0,0,0,0
16 Aug 2022,0,0,0,0
17 Aug 2022,0,0,0,0
18 Aug 2022,0,0,0,0
19 Aug 2022,0,0,0,0
20 Aug 2022,0,0,0,0
21 Aug 2022,0,0,0.0476,0
22 Aug 2022,0,0,0,0
23 Aug 2022,0,0,0,0
24 Aug 2022,0,0,0,0
25 Aug 2022,0,0,0.0182,0
26 Aug 2022,0,0,0.1538,0.0769
27 Aug 2022,0,0,0,0
28 Aug 2022,0,0,0,0
29 Aug 2022,0,0,0,0
30 Aug 2022,0.0227,0,0.0227,0.0227
31 Aug 2022,0,0,0,0
