category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0,0,0.0526,0
16 Aug 2022,0,0,0,0
17 Aug 2022,0,0,0.0545,0
18 Aug 2022,0,0,0.0222,0
19 Aug 2022,0,0,0,0
20 Aug 2022,0,0,0.0588,0
21 Aug 2022,0.1304,0,0.5652,0.2391
22 Aug 2022,0,0,0,0
23 Aug 2022,0.0508,0,0.3729,0.1186
24 Aug 2022,0,0,0.0741,0.037
25 Aug 2022,0.0182,0,0.3818,0.0182
26 Aug 2022,0,0,0,0
27 Aug 2022,0,0,0,0
28 Aug 2022,0,0,0.5,0
29 Aug 2022,0.04,0,0.36,0.16
30 Aug 2022,0.1458,0,0.4583,0.0625
31 Aug 2022,0,0,0.0909,0
