category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,1428,1428,1428,1428
16 Aug 2022,1391.1148,1391.1148,1391.1148,1391.1148
17 Aug 2022,1403.4545,1403.4545,1403.4545,1403.4545
18 Aug 2022,1424,1424,1424,1424
19 Aug 2022,1428,1428,1428,1428
20 Aug 2022,1380.3529,1380.3529,1380.3529,1380.3529
21 Aug 2022,1338.2609,1338.2609,1338.2609,1338.2609
22 Aug 2022,1428,1428,1428,1428
23 Aug 2022,1370.0339,1370.0339,1370.0339,1370.0339
24 Aug 2022,1421.7778,1421.7778,1421.7778,1421.7778
25 Aug 2022,1387.0909,1387.0909,1387.0909,1387.0909
26 Aug 2022,1375.5,1375.5,1375.5,1375.5
27 Aug 2022,1338,1338,1338,1338
28 Aug 2022,1344.4286,1344.4286,1344.4286,1344.4286
29 Aug 2022,1399.2,1399.2,1399.2,1399.2
30 Aug 2022,1386.75,1386.75,1386.75,1386.75
31 Aug 2022,1399.3636,1399.3636,1399.3636,1399.3636
