category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,1.6579,0,5.7105,1.6316
16 Aug 2022,0.9508,0,5.2459,1
17 Aug 2022,1.0182,0,4.8182,1.1455
18 Aug 2022,1.0889,0,5.1333,1.1556
19 Aug 2022,1.0313,0,4.75,1.0625
20 Aug 2022,0.5294,0,4,0.8235
21 Aug 2022,0.5,0,3.587,0.587
22 Aug 2022,1,0,3.8462,0.8462
23 Aug 2022,1.2203,0.0169,4.8305,1.5593
24 Aug 2022,2.4815,0.0741,7,2.7407
25 Aug 2022,1.3636,0.0182,5.1091,1.4727
26 Aug 2022,2.5,0.1667,5.4167,2.9167
27 Aug 2022,0,0,2,1
28 Aug 2022,1.2857,0.0714,5.4286,1.9286
29 Aug 2022,2.32,0.04,6.6,3
30 Aug 2022,1.1875,0.0208,4.4792,0.9583
31 Aug 2022,1.1364,0,5,1.5
