category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,57.7895,0,374.2632,36.0263
16 Aug 2022,25,0,167.7667,28.6167
17 Aug 2022,47.1455,0,318.2727,31.2364
18 Aug 2022,34.2041,0,331.6122,9.0816
19 Aug 2022,79.7059,0,444.1471,64.3235
20 Aug 2022,34.1765,0,217.3529,12.9412
21 Aug 2022,1.8571,0,6.0476,1.1429
22 Aug 2022,101.8462,0,803.4615,35.0769
23 Aug 2022,23.3065,0,133.3548,15.6129
24 Aug 2022,72.6071,0,437.5,72.6786
25 Aug 2022,38.6545,0.1636,225.2545,27.2364
26 Aug 2022,16.1538,0,109.1538,4.9231
27 Aug 2022,1,0,4,1
28 Aug 2022,2.9091,0.0909,10.7273,4.2727
29 Aug 2022,60.4348,0.1304,341.3043,34.6957
30 Aug 2022,52.9091,0,310.0682,57.5682
31 Aug 2022,21.25,0.0357,120.3571,21.2857
