category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0,0,0.3947,0
16 Aug 2022,0,0,0,0
17 Aug 2022,0,0,0,0
18 Aug 2022,0,0,0,0
19 Aug 2022,0,0,0.0625,0
20 Aug 2022,0,0,0.1765,0
21 Aug 2022,0.1304,0,1.1087,0.1522
22 Aug 2022,0,0,0,0
23 Aug 2022,0.2203,0,1,0.1864
24 Aug 2022,0,0,0.8148,0
25 Aug 2022,0.1636,0,1.2545,0.2545
26 Aug 2022,0,0,0.1667,0
27 Aug 2022,0,0,0,0
28 Aug 2022,0.5,0,2.8571,1.0714
29 Aug 2022,0.32,0,1.36,0.8
30 Aug 2022,0.125,0,0.6458,0.1042
31 Aug 2022,0,0,0.1818,0
