category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0,0,0.3684,0
16 Aug 2022,0,0,0,0
17 Aug 2022,0.0364,0,0.4545,0
18 Aug 2022,0,0,0.0222,0
19 Aug 2022,0,0,0.0313,0
20 Aug 2022,0,0,0.1765,0
21 Aug 2022,0.1304,0,0.8261,0.1739
22 Aug 2022,0,0,0,0
23 Aug 2022,0.3051,0,1.1695,0.678
24 Aug 2022,0.0741,0,0.6667,0.3333
25 Aug 2022,0.2,0,1.2182,0.3273
26 Aug 2022,0,0,0.1667,0
27 Aug 2022,0,0,0,0
28 Aug 2022,0.2143,0,1.3571,0.4286
29 Aug 2022,0.28,0,1.36,0.56
30 Aug 2022,0.1875,0,0.7292,0.2083
31 Aug 2022,0,0,0.4091,0
