category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,15.3421,0,139.7105,3.8947
16 Aug 2022,5.75,0,42.75,1.3167
17 Aug 2022,12.3455,0,113.4909,10.2727
18 Aug 2022,11.102,0,128.5306,0.898
19 Aug 2022,17.1176,0,168.5588,7.7647
20 Aug 2022,10.4118,0,101.9412,1.7059
21 Aug 2022,1.7143,0,5.0476,0.9048
22 Aug 2022,21.3846,0,226.2308,2.7692
23 Aug 2022,5.0806,0,37.2419,2.1613
24 Aug 2022,17.1429,0,133.1071,12.7143
25 Aug 2022,8.5273,0.1455,76.6182,4.3818
26 Aug 2022,3.8462,0,22.4615,2.0769
27 Aug 2022,2.5,0,6,2.5
28 Aug 2022,2.1818,0.1818,6.5455,2.0909
29 Aug 2022,14.0435,0.087,137.913,5.5217
30 Aug 2022,10.6591,0.0227,91.7727,6.1591
31 Aug 2022,2.5357,0.0357,19.3571,1.9286
