category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,19264.7632,1969.5,78727.6579,10454.7895
16 Aug 2022,19487.2167,5390.85,60834.4,15458.75
17 Aug 2022,8976.5818,1712.3455,36887.0182,9129.2909
18 Aug 2022,24086.8367,8386.3673,75203.7551,14652.0204
19 Aug 2022,12135.2059,1316.5882,72340.5,7248.1471
20 Aug 2022,5363.0588,1711,26466.2941,4164.5882
21 Aug 2022,6201.8333,3176.0476,10734.619,5647.1905
22 Aug 2022,3293.1538,290.2308,22134.1538,6643.2308
23 Aug 2022,14103.0968,4933.5806,38745.5323,14322.6774
24 Aug 2022,30590.8571,5040.6786,91912.7857,16365.6429
25 Aug 2022,23354.8545,6680.2,57334.6909,26082.2545
26 Aug 2022,21354.5385,5655.7692,58146.9231,10090.7692
27 Aug 2022,4572.5,3369,6424.5,4567
28 Aug 2022,7688.7273,3721.0909,15057.2727,6024.4545
29 Aug 2022,10666.7826,2782,45472.8696,9104.087
30 Aug 2022,15343.5,5234.9318,39501.5682,24257.5227
31 Aug 2022,20336.8214,3844.2143,49733.3571,20107.5
