category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,59019.4474,15467.1842,148105.3947,68193.0789
16 Aug 2022,41860.5246,13633.1148,101853.918,41256.5902
17 Aug 2022,31757.8182,8640.9273,89244.7091,36485.1091
18 Aug 2022,38472.1111,9539.3778,102124,35416.8
19 Aug 2022,20206.5313,6489.6563,54187.8125,21182.5938
20 Aug 2022,19662.4118,5360.2941,56688.1176,13188.2941
21 Aug 2022,11335.9565,4657.9565,23435.3478,11439.8696
22 Aug 2022,12745.6154,5197.9231,30144.6923,9706.7692
23 Aug 2022,42290.3051,14244.4915,93473.2373,35229.339
24 Aug 2022,102359.5556,74358,203523.4444,85935.2963
25 Aug 2022,46844.3818,20961.3091,128923.6364,39172.4
26 Aug 2022,298272.4167,285457.8333,322227.0833,299335.1667
27 Aug 2022,10859,5216,20339,15587
28 Aug 2022,12914.7857,4764.6429,27309.3571,9155.7857
29 Aug 2022,286494.32,263928.04,333032.36,272524.64
30 Aug 2022,47975.6458,28213.1875,95138.9167,42544.0417
31 Aug 2022,30229.7727,11020.6364,93290.2273,23566.9091
