category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,3,3,3,3
16 Aug 2022,5.2167,3,12.9,3
17 Aug 2022,3,3,3,3
18 Aug 2022,3,3,3,3
19 Aug 2022,3,3,3,3
20 Aug 2022,3,3,3,3
21 Aug 2022,3,3,3,3
22 Aug 2022,3,3,3,3
23 Aug 2022,3,3,3,3
24 Aug 2022,5.5714,3,12.25,3
25 Aug 2022,3,3,3,3
26 Aug 2022,3,3,3,3
27 Aug 2022,3,3,3,3
28 Aug 2022,3,3,3,3
29 Aug 2022,3,3,3,3
30 Aug 2022,3,3,3,3
31 Aug 2022,5,3,7,5
