category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0.5789,0.1579,0.8684,0.6579
16 Aug 2022,0.4262,0.0656,0.7049,0.4426
17 Aug 2022,0.4545,0.1273,0.6727,0.4364
18 Aug 2022,0.3111,0.0889,0.4222,0.3333
19 Aug 2022,0.125,0.0938,0.1563,0.125
20 Aug 2022,1.7059,0.4118,2.8235,1.7059
21 Aug 2022,6.4783,2.1304,10.2391,6.8043
22 Aug 2022,0,0,0,0
23 Aug 2022,4.0508,1.0847,7.1695,3.9322
24 Aug 2022,1.5185,0.5556,2.1852,1.6667
25 Aug 2022,5.6545,1.8727,8.7091,6.0545
26 Aug 2022,2.4167,1.3333,3.4167,2.6667
27 Aug 2022,2,0,2,2
28 Aug 2022,9.6429,2.9286,15.5,10.3571
29 Aug 2022,5.96,2.04,10.08,6.2
30 Aug 2022,4.2083,1.4583,6.7917,4.0417
31 Aug 2022,1.8182,0.7273,2.5,2
