category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,8241503.1842,57967.3158,18415448.6842,8422591.2105
16 Aug 2022,8961653.6,188458.1,20282162.4333,8674916.8
17 Aug 2022,12187344.9455,306274.8909,25648746.6,12946951.0909
18 Aug 2022,7852839.7551,54131.5306,17463025.6531,8124118.2041
19 Aug 2022,10473629.5294,67647.9412,22252435.2353,10594145.6471
20 Aug 2022,5043116.7647,37991.1176,11462815.5882,5223669.3529
21 Aug 2022,544200.0952,192640.1905,921534.7143,668620.8571
22 Aug 2022,12102382.8462,45331.7692,26878015.2308,12542378.1538
23 Aug 2022,3192241.7097,132848.9677,6895700.7097,3279968.629
24 Aug 2022,7446613.5357,50433.2143,16460170.5,7890963.3571
25 Aug 2022,4318584.2727,107250.0182,9304178.2727,4632088.8
26 Aug 2022,1279026.1538,75835.1538,2611347,1472582.9231
27 Aug 2022,376534,37295,800624,346373
28 Aug 2022,501952.1818,156079.5455,941927.3636,550068.3636
29 Aug 2022,7765857.5652,92320.4783,16442885.1739,8221293.6087
30 Aug 2022,6108231.4318,119605.2273,13308420.7273,6400374.9091
31 Aug 2022,3050067.4286,70754.1429,6642709,3245999.1071
