category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,7138.7368,90.9737,14912.2632,7434.1579
16 Aug 2022,7066.6,212.9667,15628.6,6910.4167
17 Aug 2022,9995.2,317.5455,20187.6182,10681.1636
18 Aug 2022,6714.5306,85.5714,13977.7551,7059.551
19 Aug 2022,9072.1471,105.5882,18098.7941,9269
20 Aug 2022,4344.8824,60.2941,9255.2353,4561.9412
21 Aug 2022,550.2381,228.0714,882.1905,662
22 Aug 2022,10785.3846,76,22120,11352.9231
23 Aug 2022,2850.8226,169.0806,5741.1129,2989.8226
24 Aug 2022,6639.0357,82.0714,13611.0714,7178.3571
25 Aug 2022,3902.1091,148.0545,7807.9636,4201.5091
26 Aug 2022,1260.1538,113.3077,2394.3077,1427.8462
27 Aug 2022,421,63.5,834.5,399
28 Aug 2022,527.4545,213.4545,908.6364,576.2727
29 Aug 2022,6851.7826,134.9565,13509.0435,7382.5652
30 Aug 2022,5350.7273,168.9545,10855.4545,5693
31 Aug 2022,2548.0714,104.75,5234.6786,2740.1429
