category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,1415.3158,52.5263,2612.3947,1434.6316
16 Aug 2022,941.2787,70.1639,1623.3934,977.3115
17 Aug 2022,747.0182,36.3091,1256.0364,799.7091
18 Aug 2022,1192.3556,20.6889,2109.0667,1265.1333
19 Aug 2022,968.8438,19.5938,1717.9688,1004.75
20 Aug 2022,1068.1176,68.7059,1932.7647,1088.0588
21 Aug 2022,404.587,87.4565,654.5435,418.6522
22 Aug 2022,1243.6154,74.6923,2173.9231,1319.1538
23 Aug 2022,664.6102,79.6441,1064.9492,701.661
24 Aug 2022,945.1481,29.4074,1575.7037,1011.4074
25 Aug 2022,815.0909,68.2182,1363.2545,870.7091
26 Aug 2022,555.5,70.9167,882,587.4167
27 Aug 2022,594,191,920,599
28 Aug 2022,477.3571,97.7143,779.1429,487.2857
29 Aug 2022,1131.28,63.44,2023.92,1193.96
30 Aug 2022,1008.7917,70.125,1695.125,1082.0208
31 Aug 2022,647.0909,34.3636,1063.9545,691.8636
