category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,3217.3421,37.5263,7133.1316,3250.7632
16 Aug 2022,2234.4,76.4167,4993,2169.5833
17 Aug 2022,3679.2909,110.8727,7711.1091,3866.3818
18 Aug 2022,2683.3265,35.9184,6011.1837,2708.2449
19 Aug 2022,4005.0294,39.5588,8580.5,3997.5294
20 Aug 2022,1451.5294,27.2353,3297.5882,1498.8824
21 Aug 2022,272.6905,91.6667,462.381,337.7143
22 Aug 2022,4987.5385,24.2308,10959.0769,5157.8462
23 Aug 2022,1196.5323,62.8226,2570.9194,1219.4355
24 Aug 2022,2734.4286,31.1071,6060.5,2839.2857
25 Aug 2022,1814.7636,54.6364,3845.9273,1943.8364
26 Aug 2022,646.9231,47.3077,1357.8462,727.3846
27 Aug 2022,202.5,27.5,398.5,198
28 Aug 2022,255.7273,66.3636,486.3636,284.4545
29 Aug 2022,2745.2174,53.2174,5914.4783,2853.913
30 Aug 2022,2250.75,61.2045,5012.4318,2307.7955
31 Aug 2022,912.3571,41.4643,2007.1429,958.4643
