category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,8.5789,3.0263,15.1053,8.7895
16 Aug 2022,10.2167,3.05,18.5667,10.6
17 Aug 2022,10.4909,3.0545,19.2,11.0364
18 Aug 2022,8.2653,3.0408,14.7551,8.4898
19 Aug 2022,9.5588,3.0294,17.2647,9.6765
20 Aug 2022,7.2941,3,12.7059,7.5294
21 Aug 2022,3.9762,3,5.3333,4.0476
22 Aug 2022,10.6923,3,19.3846,11
23 Aug 2022,5.6613,3.0161,9.0806,5.8226
24 Aug 2022,7.5714,3.0714,13.2143,7.8214
25 Aug 2022,5.8364,3.0545,9.5273,6.1636
26 Aug 2022,4.1538,3.0769,5.3077,4.3846
27 Aug 2022,5.5,3,8,5.5
28 Aug 2022,4.2727,3,6.2727,4.3636
29 Aug 2022,8.087,3,14.0435,8.1304
30 Aug 2022,7,3.0227,11.8409,7.1818
31 Aug 2022,5.5,3.1429,8.4286,5.6786
