category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,7132.0263,87.9474,14901.8684,7427
16 Aug 2022,7059.05,209.8333,15616.3333,6902.5333
17 Aug 2022,9987.1091,314.4364,20174.8364,10672.6545
18 Aug 2022,6708.2857,82.5102,13968.7347,7052.9388
19 Aug 2022,9065.1176,102.5588,18088.5588,9261.5294
20 Aug 2022,4339.1176,57.0588,9247.5882,4555.6471
21 Aug 2022,546.2857,224.8333,877.4762,657.8333
22 Aug 2022,10778,73,22109,11344.6154
23 Aug 2022,2846.0968,165.9355,5734.9194,2984.8387
24 Aug 2022,6633.0714,79,13602.0357,7172.2857
25 Aug 2022,3896.9273,144.9455,7800.8,4195.9273
26 Aug 2022,1256.3846,110.1538,2390,1423.7692
27 Aug 2022,417.5,60.5,830.5,395.5
28 Aug 2022,523.5455,210.2727,903.7273,572.2727
29 Aug 2022,6845.3913,131.8261,13500.087,7375.6522
30 Aug 2022,5344.8182,165.75,10846.5682,5686.7045
31 Aug 2022,2543,101.5714,5227.6071,2734.8214
