category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,1825690.7368,167705.7368,3529925,1898234.1842
16 Aug 2022,1964581.3167,572657.35,3486567.7,2135086.15
17 Aug 2022,2517823.7818,680926.2727,4535947.7091,2563940.7091
18 Aug 2022,1749561.3673,195999.1633,3243628.3061,1839363.4286
19 Aug 2022,2206121.3235,331551.5294,4219615.9706,2367363.2647
20 Aug 2022,1215310,81159.9412,2330023.0588,1251161.1176
21 Aug 2022,226436.381,99152,618596.0714,134306.4524
22 Aug 2022,2569432.4615,229328.3077,4508659.9231,2730485.3077
23 Aug 2022,776640.8548,121254.629,1683598.6613,724373.8226
24 Aug 2022,1701206.1429,235230.2857,3481807.6786,1811706.8929
25 Aug 2022,1076640.5818,250353.6364,2270543.6545,1083369.6
26 Aug 2022,554662.6154,111955.9231,1419334.4615,468796.1538
27 Aug 2022,310375.5,108909.5,691144.5,266641
28 Aug 2022,290330.1818,71330.9091,889082.2727,95581
29 Aug 2022,1687882.3913,179454.6957,3336747.4348,1725579.1304
30 Aug 2022,1409492.3182,254941.0682,2560885,1404113.1136
31 Aug 2022,730278.1071,138586.3214,1294317.0357,796140.7143
