category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,4500229.2895,375578.9474,9360526.3158,4717210.5263
16 Aug 2022,4283433.8833,392266.6667,9277733.3333,4292133.3333
17 Aug 2022,4675887.6182,446545.4545,9404145.4545,4948327.2727
18 Aug 2022,4134344.7347,441795.9184,9046285.7143,4249918.3673
19 Aug 2022,4566054.9118,366941.1765,9334941.1765,4541117.6471
20 Aug 2022,4317949.5882,440705.8824,9208941.1765,4516705.8824
21 Aug 2022,3836258.4286,355238.0952,7968380.9524,4994761.9048
22 Aug 2022,4803064.3846,318769.2308,10000307.6923,5054769.2308
23 Aug 2022,4131420.5968,565354.8387,8337096.7742,4560612.9032
24 Aug 2022,3448266.4643,397857.1429,7362857.1429,3823785.7143
25 Aug 2022,3523961.0909,414618.1818,7150181.8182,3970290.9091
26 Aug 2022,1790208.0769,324307.6923,4086461.5385,1745076.9231
27 Aug 2022,2474666.5,256000,5542000,2194000
28 Aug 2022,3810100.8182,415272.7273,8154181.8182,4139090.9091
29 Aug 2022,4368947.0435,575652.1739,8707826.087,4807565.2174
30 Aug 2022,4060252.4545,417181.8182,8431818.1818,4397500
31 Aug 2022,3354913.7857,404428.5714,7235571.4286,3633785.7143
