category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,2586297.0789,227157.8947,4911473.6842,2652105.2632
16 Aug 2022,2107873.3115,239213.1148,4031475.4098,2124491.8033
17 Aug 2022,2137853,209090.9091,4114109.0909,2157127.2727
18 Aug 2022,2483857.6222,292711.1111,4668533.3333,2537333.3333
19 Aug 2022,2353238.4375,259750,4482250,2390437.5
20 Aug 2022,1839800.9412,227764.7059,3440705.8824,1865176.4706
21 Aug 2022,1678967.6304,356782.6087,3126086.9565,1694130.4348
22 Aug 2022,2191166.6923,239384.6154,4197230.7692,2215230.7692
23 Aug 2022,2074609.0678,332271.1864,3845559.322,2125355.9322
24 Aug 2022,2995895.1852,506074.0741,5468444.4444,3002814.8148
25 Aug 2022,2782298.9091,724072.7273,4871781.8182,2830181.8182
26 Aug 2022,2696594.5833,742333.3333,4676000,2733500
27 Aug 2022,1158786,76000,2124000,1212000
28 Aug 2022,2066752.8571,501714.2857,3698285.7143,2115714.2857
29 Aug 2022,3769061.68,1315200,6200000,3846080
30 Aug 2022,2417584.0417,517750,4390833.3333,2424833.3333
31 Aug 2022,2160903,263090.9091,4125454.5455,2199454.5455
