category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,45.5789,5.6316,85.5,46.4211
16 Aug 2022,47.8197,5.7869,89.8525,48.8197
17 Aug 2022,49.8545,5.6727,94.1636,50.8364
18 Aug 2022,47.5556,5.6,89.8889,48.4
19 Aug 2022,48.4375,5.5313,91.5625,49.5
20 Aug 2022,47.2941,5.7647,88.9412,48.1176
21 Aug 2022,46.3478,5.9783,85.3913,47.7391
22 Aug 2022,47.0769,5.6923,89.3077,48.2308
23 Aug 2022,45.8305,5.8136,85.6271,46.6441
24 Aug 2022,45.0741,5.6667,85.4444,45.7037
25 Aug 2022,46.7818,5.6727,87.0727,48.0364
26 Aug 2022,40.3333,5.75,74.9167,41.4167
27 Aug 2022,62,6,117,61
28 Aug 2022,48.7857,5.9286,91.6429,50.1429
29 Aug 2022,44.32,5.6,85.12,44.72
30 Aug 2022,46.4792,5.7083,86.8958,48.1667
31 Aug 2022,46.6364,5.8636,87.0455,47.1364
