category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0.2895,0.0526,0.7895,0.1053
16 Aug 2022,1.4,0.0667,5.9167,0.3167
17 Aug 2022,0.3091,0.0545,0.9636,0.1455
18 Aug 2022,0.1224,0.1224,0.1224,0.1224
19 Aug 2022,0.1176,0.0294,0.1471,0.1471
20 Aug 2022,0.1176,0.0588,0.1176,0.1176
21 Aug 2022,0,0,0,0
22 Aug 2022,0,0,0.0769,0.0769
23 Aug 2022,0.0323,0.0323,0.0806,0.0484
24 Aug 2022,3.25,0.1071,14.0714,0.8214
25 Aug 2022,0.2545,0.0364,0.4727,0.3091
26 Aug 2022,0.1538,0.0769,0.1538,0.1538
27 Aug 2022,0,0,0,0
28 Aug 2022,0,0,0,0
29 Aug 2022,0.6522,0.087,0.8696,0.8261
30 Aug 2022,1.8182,0,2.8409,2.4773
31 Aug 2022,0.4643,0.0714,0.5714,0.5357
