category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Aug 2022,0,0,0,0
2 Aug 2022,0,0,0,0
3 Aug 2022,0,0,0,0
4 Aug 2022,0,0,0,0
5 Aug 2022,0,0,0,0
6 Aug 2022,0,0,0,0
7 Aug 2022,0,0,0,0
8 Aug 2022,0,0,0,0
9 Aug 2022,0,0,0,0
10 Aug 2022,0,0,0,0
11 Aug 2022,0,0,0,0
12 Aug 2022,0,0,0,0
13 Aug 2022,0,0,0,0
14 Aug 2022,0,0,0,0
15 Aug 2022,0.3158,0.0263,0.4211,0.3947
16 Aug 2022,0.377,0.0328,0.541,0.3607
17 Aug 2022,0.3273,0.0364,0.5455,0.3091
18 Aug 2022,0.2222,0.0222,0.3111,0.2222
19 Aug 2022,0.0938,0.0625,0.125,0.0938
20 Aug 2022,0.2353,0.0588,0.2941,0.2353
21 Aug 2022,0.5217,0,0.7174,0.5652
22 Aug 2022,0,0,0,0
23 Aug 2022,0.1356,0,0.2203,0.1356
24 Aug 2022,0.3333,0.1111,0.4815,0.2593
25 Aug 2022,0.4,0.0182,0.4909,0.3818
26 Aug 2022,0.5833,0,0.75,0.6667
27 Aug 2022,1,0,1,1
28 Aug 2022,0.0714,0,0.0714,0.0714
29 Aug 2022,0.16,0,0.32,0.16
30 Aug 2022,0.1875,0.0208,0.2708,0.1875
31 Aug 2022,0.4545,0.1364,0.5455,0.4545
