category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Apr 2022,1500,1500,1500,1500
2 Apr 2022,1500,1500,1500,1500
3 Apr 2022,1500,1500,1500,1500
4 Apr 2022,1500,1500,1500,1500
5 Apr 2022,1500,1500,1500,1500
6 Apr 2022,1500,1500,1500,1500
7 Apr 2022,1500,1500,1500,1500
8 Apr 2022,1500,1500,1500,1500
9 Apr 2022,1500,1500,1500,1500
10 Apr 2022,1500,1500,1500,1500
11 Apr 2022,1500,1500,1500,1500
12 Apr 2022,1500,1500,1500,1500
13 Apr 2022,1500,1500,1500,1500
14 Apr 2022,1500,1500,1500,1500
15 Apr 2022,1500,1500,1500,1500
16 Apr 2022,1500,1500,1500,1500
17 Apr 2022,1500,1500,1500,1500
18 Apr 2022,1500,1500,1500,1500
19 Apr 2022,1500,1500,1500,1500
20 Apr 2022,1500,1500,1500,1500
21 Apr 2022,1500,1500,1500,1500
22 Apr 2022,1500,1500,1500,1500
23 Apr 2022,1500,1500,1500,1500
24 Apr 2022,1500,1500,1500,1500
25 Apr 2022,1500,1500,1500,1500
26 Apr 2022,1500,1500,1500,1500
27 Apr 2022,1500,1500,1500,1500
28 Apr 2022,1500,1500,1500,1500
29 Apr 2022,1500,1500,1500,1500
30 Apr 2022,1500,1500,1500,1500
