category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Apr 2022,424671.5714,303952.3429,447489.2571,424830.2857
2 Apr 2022,226523.7368,107712.2105,269349.2632,228924.2105
3 Apr 2022,230475.55,111873.6,275932.2,244886.8
4 Apr 2022,671572.7353,246918.3529,963634.9412,676250.5294
5 Apr 2022,496751.413,250566.5217,556808.4348,514281.4783
6 Apr 2022,392449.0741,242724.1481,401220,401220
7 Apr 2022,342773.0465,165273.1163,362286.3256,361477.814
8 Apr 2022,551780.2692,131147.5385,586421.3846,586377.0769
9 Apr 2022,308476.8182,146506.9091,337544,314513.2727
10 Apr 2022,153824.4,71123.4,166406.2,166291
11 Apr 2022,324946.6216,168006.1622,372842.3784,338749.1892
12 Apr 2022,302797.8841,151175.7101,351403.8841,320495.3043
13 Apr 2022,511615.8333,90574.6667,734908.6667,561970.6667
14 Apr 2022,311228.1702,73149.7021,427076.6809,332572.2553
15 Apr 2022,292880.3784,113803.2432,319037.4054,316311.6757
16 Apr 2022,532601.8,106958.4,1074056,525680.4
17 Apr 2022,1033091.8,258527.2,1901522,1002674
18 Apr 2022,276896.6341,88620.1951,368676.6829,304725.5122
19 Apr 2022,360643.8857,99364.6857,532488.8571,372194.8857
20 Apr 2022,463517.4167,215846.5,496505.9444,486370.0556
21 Apr 2022,598556.9792,234853.4167,623476.5833,623445.5
22 Apr 2022,484272.7647,205283.1765,508157.6471,505656.3529
23 Apr 2022,277867,125782.2857,502634.8571,234681.7143
24 Apr 2022,291399.9375,159033,328375.625,317674.5
25 Apr 2022,478860.2941,281975.3882,535489.3176,510792
26 Apr 2022,493462.4865,349106.8108,525829.1892,509542.0541
27 Apr 2022,260473.8065,172168.6452,271929.0323,270193.8065
28 Apr 2022,487724.119,296704,503334.9524,502521
29 Apr 2022,428050.3846,124500.8462,474202.7692,468709.0769
30 Apr 2022,226889.9091,96087.0909,236177.2727,236072.5455
