category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Apr 2022,2862611.7143,374611.2286,4925808.7714,2952625.8857
2 Apr 2022,1724237.8421,317116.1579,3109778.3684,1718269.2105
3 Apr 2022,1886314,336441.7,3443807.55,1895923.45
4 Apr 2022,2637035.3824,288021.3529,4954907.2353,2712428.7941
5 Apr 2022,2522697.9348,312715.5217,4590358.0217,2571482.5217
6 Apr 2022,2986383.5556,248814.3333,5408546.7037,3074712.8519
7 Apr 2022,2447725.2093,272827.4186,4280448.6744,2534632.4651
8 Apr 2022,2388246.1923,87875.1538,4236591.8462,2622588.8462
9 Apr 2022,3043513.0909,337317.5909,5347268.5909,3123031.0455
10 Apr 2022,683894.7,23234.7,1343995.35,704799.3
11 Apr 2022,1808289.4054,238303.7027,3172289.5676,1855737.4324
12 Apr 2022,1727852.971,267383.2609,3059400.5652,1777500.7536
13 Apr 2022,521932.3333,28574.6667,1122704.6667,521044
14 Apr 2022,443640.5745,24182.234,814745.8511,460242.2553
15 Apr 2022,613029.0811,66888.0811,1098638.5135,630303.973
16 Apr 2022,3462166.4,53591.4,6832741.8,3626626.2
17 Apr 2022,5006809.7,170956.2,9848462.3,5203316
18 Apr 2022,482826.9024,24786.0732,818062.9024,514546.8293
19 Apr 2022,1077853.6143,124077.6286,1966591.0286,1111876.9571
20 Apr 2022,2944306.5417,416598.4722,5124295.5556,3043884.0139
21 Apr 2022,2887576.875,289619.4583,5083119,2999151.5208
22 Apr 2022,3212137.7059,262405.2941,5835313.9706,3383125.3529
23 Apr 2022,1582250.4286,238998.4286,2803064.4286,1542925.2857
24 Apr 2022,3037376.9063,547183.75,5056885.3125,3215540.0625
25 Apr 2022,2254972.4,298936.7176,3897562.5059,2377443.4471
26 Apr 2022,3296273.4865,616044.5135,5814576.5405,3446058.027
27 Apr 2022,2575293.4194,477002.6774,4532384.2258,2630747.7097
28 Apr 2022,2345145.8095,413190.4762,4045449.9048,2378898.4048
29 Apr 2022,1109315.5769,102557.2692,2027189.5385,1144097.8462
30 Apr 2022,1694417.9091,121939,3002950.6364,1751951.6364
