category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Apr 2022,0,0,0,0
2 Apr 2022,0,0,0,0
3 Apr 2022,0,0,0.1,0
4 Apr 2022,0,0,0.0882,0
5 Apr 2022,0,0,0,0
6 Apr 2022,0,0,0.037,0
7 Apr 2022,0,0,0,0
8 Apr 2022,0,0,0.0769,0.0385
9 Apr 2022,0,0,0,0
10 Apr 2022,0,0,0,0
11 Apr 2022,0,0,0.0541,0
12 Apr 2022,0.0435,0,0.087,0.058
13 Apr 2022,0,0,0,0
14 Apr 2022,0,0,0.0638,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0.1,0
18 Apr 2022,0,0,0.0732,0.0244
19 Apr 2022,0.0143,0,0.1143,0.0429
20 Apr 2022,0,0,0.0417,0
21 Apr 2022,0,0,0.0417,0.0208
22 Apr 2022,0,0,0.0294,0
23 Apr 2022,0,0,0,0
24 Apr 2022,0.0313,0,0.125,0
25 Apr 2022,0.0353,0,0.1529,0.0353
26 Apr 2022,0,0,0.1081,0
27 Apr 2022,0.0323,0,0.129,0
28 Apr 2022,0,0,0.0476,0
29 Apr 2022,0,0,0,0
30 Apr 2022,0,0,0.0455,0
