category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Apr 2022,49.4,5.0286,93.3714,50.3143
2 Apr 2022,51.8421,5,97.6316,53
3 Apr 2022,50.35,5,94.35,52.2
4 Apr 2022,49.3824,5.0588,92.8824,50.5588
5 Apr 2022,49.6087,4.9565,93.4565,50.8043
6 Apr 2022,52.2593,5,99,53.5185
7 Apr 2022,51.093,4.9535,96.7674,51.9767
8 Apr 2022,49.7308,5.0385,94.3846,51.2692
9 Apr 2022,49.0909,4.8636,92.9091,50.1364
10 Apr 2022,51.75,5.05,97.15,52.95
11 Apr 2022,50.1081,5,94.7027,51.5946
12 Apr 2022,49.087,5.0435,92.6087,50.3768
13 Apr 2022,47.6667,5,89.3333,48.3333
14 Apr 2022,50.1702,5,94.5319,51.1915
15 Apr 2022,50.2162,5.027,95.0541,51.2703
16 Apr 2022,49.2,5,92,50.2
17 Apr 2022,53.8,5,100.5,55.3
18 Apr 2022,51.6585,5.0488,96.8537,52.7561
19 Apr 2022,48.8286,4.9857,91.4857,50.1143
20 Apr 2022,49.3889,5.0139,93.1667,50.3889
21 Apr 2022,49.1667,5.0417,92.8333,50.25
22 Apr 2022,49.9706,5.2059,94.4118,50.9412
23 Apr 2022,48.4286,5,91.2857,49.4286
24 Apr 2022,47.5313,5.0938,89.1563,49.125
25 Apr 2022,50.1412,5.0941,94.1882,51.6706
26 Apr 2022,49.8108,5.0811,94.1351,51
27 Apr 2022,50.4516,5.129,95.1935,51.3548
28 Apr 2022,49.7619,5.0476,94.6429,50.5952
29 Apr 2022,49.0192,5.0769,92.4615,49.9808
30 Apr 2022,49.7273,5.0455,93.3636,50.4091
