category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Apr 2022,49.8857,5.9143,93.4286,50.7143
2 Apr 2022,52,5.8947,97.0526,53.3158
3 Apr 2022,49.65,5.9,92.95,51.75
4 Apr 2022,48.2941,5.8824,90.5882,49.2941
5 Apr 2022,50.0435,5.8913,93.7609,51.1304
6 Apr 2022,52.4815,6,98.7037,53.7037
7 Apr 2022,51.6977,5.9302,97.2558,52.6279
8 Apr 2022,50.3077,6,94.3462,51.6923
9 Apr 2022,49.7273,5.8182,92.7727,50.7273
10 Apr 2022,51.7,6.05,97.1,52.85
11 Apr 2022,50.1081,5.9459,93.6486,51.5135
12 Apr 2022,48.8986,6.029,91.3623,50.3188
13 Apr 2022,47.5,5.6667,89.3333,48.1667
14 Apr 2022,49.3191,5.9149,92.4043,50.2553
15 Apr 2022,50.7027,5.9459,95.5135,51.7568
16 Apr 2022,47.6,6,90.2,48.6
17 Apr 2022,51,6,94.3,52.3
18 Apr 2022,50.1707,5.9024,93.6098,51.0976
19 Apr 2022,47.3571,5.9,88.3,48.2571
20 Apr 2022,49.625,5.9444,93.0417,50.3333
21 Apr 2022,49.9375,6.0208,93.4375,50.7292
22 Apr 2022,49.9412,6,93.8529,50.8235
23 Apr 2022,46,6,88.7143,46.4286
24 Apr 2022,47.1563,5.9375,87.75,48.9375
25 Apr 2022,49.3765,5.9412,92.1412,50.7882
26 Apr 2022,49.8378,6,93.7027,51.1622
27 Apr 2022,50.1935,6,93.8387,51.3226
28 Apr 2022,50.2619,5.9524,94.619,50.9286
29 Apr 2022,49.3654,6.0577,92.6731,50.3077
30 Apr 2022,49.7273,5.9091,92.7273,50.6364
