category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Apr 2022,0.0286,0.0286,0.0571,0.0286
2 Apr 2022,0.5263,0,0.8421,0.6316
3 Apr 2022,0,0,0,0
4 Apr 2022,0.0588,0,0.0882,0.0588
5 Apr 2022,1.587,0.0217,3.6739,0.5652
6 Apr 2022,0.2593,0.0741,0.7037,0.2222
7 Apr 2022,0.6977,0,1.6047,0.7907
8 Apr 2022,1.3077,0,3.1538,1.3846
9 Apr 2022,0.0455,0.0455,0.0909,0.0455
10 Apr 2022,0.05,0,0.3,0
11 Apr 2022,0.1111,0.0278,0.2222,0.0556
12 Apr 2022,0.169,0.0563,0.5352,0.0986
13 Apr 2022,0,0,0,0
14 Apr 2022,0,0,0,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0,0
18 Apr 2022,0,0,0,0
19 Apr 2022,0.2319,0.087,0.4783,0.3478
20 Apr 2022,0.0822,0.0548,0.1918,0.0548
21 Apr 2022,0.383,0,0.5532,0.5319
22 Apr 2022,0.2941,0,1.6471,0.0588
23 Apr 2022,0.1429,0.1429,0.4286,0.1429
24 Apr 2022,0.1212,0.0606,0.1212,0.1212
25 Apr 2022,0.4941,0.0353,0.7882,0.5059
26 Apr 2022,1.9189,0,6.4054,0.6757
27 Apr 2022,0.4839,0.0323,2.9355,0.2258
28 Apr 2022,3.3171,0.0244,6.1707,3.7073
29 Apr 2022,0.25,0.0577,0.3462,0.3462
30 Apr 2022,0,0,0,0
