category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Apr 2022,0,0,0,0
2 Apr 2022,0,0,0,0
3 Apr 2022,0,0,0,0
4 Apr 2022,0.4412,0.4412,0.4706,0.4412
5 Apr 2022,0.1304,0.1304,0.1304,0.1304
6 Apr 2022,0,0,0,0
7 Apr 2022,0,0,0,0
8 Apr 2022,0.0385,0.0385,0.0385,0.0385
9 Apr 2022,0,0,0,0
10 Apr 2022,0,0,0,0
11 Apr 2022,0.0811,0.0541,0.1081,0.1081
12 Apr 2022,0.1739,0.1594,0.1884,0.1739
13 Apr 2022,0,0,0,0
14 Apr 2022,0,0,0,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0,0
18 Apr 2022,0.1951,0.1951,0.1951,0.1951
19 Apr 2022,0,0,0,0
20 Apr 2022,0.0139,0,0.0139,0.0139
21 Apr 2022,0,0,0,0
22 Apr 2022,0.0294,0,0.0588,0.0294
23 Apr 2022,0.8571,0.8571,0.8571,0.8571
24 Apr 2022,0.5625,0.5625,0.5625,0.5625
25 Apr 2022,0,0,0.0353,0
26 Apr 2022,0.0541,0,0.0541,0.0541
27 Apr 2022,0.0323,0,0.0645,0.0323
28 Apr 2022,0,0,0.0238,0
29 Apr 2022,0,0,0.0385,0
30 Apr 2022,0,0,0,0
