category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Apr 2022,251989.6,221828.5714,347542.8571,258800
2 Apr 2022,291768.2632,232000,413052.6316,310947.3684
3 Apr 2022,277009.75,229400,359800,283000
4 Apr 2022,341406.5882,237647.0588,558352.9412,343764.7059
5 Apr 2022,268866.7174,217826.087,399913.0435,261956.5217
6 Apr 2022,255310.9259,215851.8519,350666.6667,255851.8519
7 Apr 2022,268414.9302,216372.093,446418.6047,254837.2093
8 Apr 2022,308448.2308,227384.6154,467384.6154,324923.0769
9 Apr 2022,266808.2727,226909.0909,332909.0909,252272.7273
10 Apr 2022,288772.6,241400,381000,296200
11 Apr 2022,278384.5833,225000,382000,289388.8889
12 Apr 2022,330595.9155,239042.2535,533239.4366,366169.0141
13 Apr 2022,488570.25,326000,727000,549500
14 Apr 2022,321564.7234,254468.0851,434553.1915,315872.3404
15 Apr 2022,329662.7838,244108.1081,461405.4054,328702.7027
16 Apr 2022,308816,237600,393600,304800
17 Apr 2022,311818.1,236400,457600,322000
18 Apr 2022,350311.7381,247523.8095,531142.8571,357714.2857
19 Apr 2022,304859.5507,241391.3043,448811.5942,305188.4058
20 Apr 2022,277519.4795,223780.8219,401150.6849,298465.7534
21 Apr 2022,291400.0213,228340.4255,431829.7872,290340.4255
22 Apr 2022,279916.0588,220235.2941,479294.1176,289941.1765
23 Apr 2022,591453.1429,274857.1429,1205142.8571,621142.8571
24 Apr 2022,425698.4848,232242.4242,691878.7879,434909.0909
25 Apr 2022,291819.0471,227952.9412,437505.8824,299035.2941
26 Apr 2022,296120.1892,213405.4054,703675.6757,322378.3784
27 Apr 2022,265508.2258,211225.8065,440258.0645,262258.0645
28 Apr 2022,297912.3659,230634.1463,498731.7073,331268.2927
29 Apr 2022,312657.6154,240307.6923,477000,320538.4615
30 Apr 2022,353583.7273,252181.8182,490000,344272.7273
