category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Apr 2022,41539.3429,40000,62400,42114.2857
2 Apr 2022,40377.4211,40000,53263.1579,41263.1579
3 Apr 2022,47885.55,40000,75600,49500
4 Apr 2022,42508.2647,40000,65764.7059,42823.5294
5 Apr 2022,43010.1522,40000,66260.8696,43086.9565
6 Apr 2022,42402.3704,40000,63407.4074,42888.8889
7 Apr 2022,42781.0465,40000,78139.5349,42651.1628
8 Apr 2022,41874.8077,40000,68923.0769,40461.5385
9 Apr 2022,40366,40000,50181.8182,40000
10 Apr 2022,40196.1,40000,44400,40000
11 Apr 2022,47063.6757,40000,104972.973,47621.6216
12 Apr 2022,45296.8116,40000,85391.3043,50173.913
13 Apr 2022,47416.8333,40000,93333.3333,68333.3333
14 Apr 2022,49933.766,40000,112425.5319,59957.4468
15 Apr 2022,49056.0811,40000,104540.5405,49081.0811
16 Apr 2022,40205.8,40000,46400,40000
17 Apr 2022,40158.1,40000,41600,40000
18 Apr 2022,53811.2927,40000,98731.7073,54878.0488
19 Apr 2022,43741.8,40000,64457.1429,45285.7143
20 Apr 2022,42374.8889,40000,61277.7778,42194.4444
21 Apr 2022,40850.0417,40000,54583.3333,41708.3333
22 Apr 2022,40605.1176,40000,56352.9412,40823.5294
23 Apr 2022,43482.4286,40000,65714.2857,40571.4286
24 Apr 2022,44165.9375,40000,62000,43750
25 Apr 2022,47393.6706,40000,81458.8235,44541.1765
26 Apr 2022,41429.4595,40000,64648.6486,40648.6486
27 Apr 2022,42559.0968,40000,76000,49806.4516
28 Apr 2022,42973.6905,40000,71428.5714,43523.8095
29 Apr 2022,44859.3846,40000,87076.9231,45346.1538
30 Apr 2022,42403.5,40000,63454.5455,41727.2727
