category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Apr 2022,1368.3429,1234.1714,1371.6571,1371.6571
2 Apr 2022,1348.3684,1224.4211,1351.0526,1351.0526
3 Apr 2022,1356.6,1239.4,1359.7,1359.7
4 Apr 2022,1377.2059,1249.0588,1380.2353,1380.2353
5 Apr 2022,1388.6087,1318.8478,1391.0435,1391.0435
6 Apr 2022,1390.1852,1361.1111,1390.8148,1390.8148
7 Apr 2022,1386,1349.7209,1387.0233,1387.0233
8 Apr 2022,1370.4615,1279.9231,1372.4615,1372.4615
9 Apr 2022,1362.0909,1289.6818,1364.6364,1364.6364
10 Apr 2022,1335.45,1217.7,1338,1338
11 Apr 2022,1371.7297,1221.7297,1375.4595,1375.4595
12 Apr 2022,1376.0145,1246.7246,1379.3913,1379.3913
13 Apr 2022,1353.6667,1101.6667,1369,1369
14 Apr 2022,1331.7234,1167.3617,1338,1338
15 Apr 2022,1333.9459,1186.2703,1338,1338
16 Apr 2022,1338,1338,1338,1338
17 Apr 2022,1338,1338,1338,1338
18 Apr 2022,1344.2439,1151.1707,1351.1707,1351.1707
19 Apr 2022,1339.0571,1164.4286,1347.7429,1347.7429
20 Apr 2022,1371.5,1294.4722,1373.3056,1373.3056
21 Apr 2022,1355.2917,1289.875,1356.7083,1356.7083
22 Apr 2022,1373.9118,1350.8824,1374.4706,1374.4706
23 Apr 2022,1418.8571,1296.5714,1424,1424
24 Apr 2022,1401.5938,1320,1403.625,1403.625
25 Apr 2022,1364.5647,1264.1176,1367.9059,1367.9059
26 Apr 2022,1394.973,1394.973,1394.973,1394.973
27 Apr 2022,1395.4194,1370.129,1396,1396
28 Apr 2022,1371.3571,1297.0476,1373.4286,1373.4286
29 Apr 2022,1356.0962,1310.8077,1357.0769,1357.0769
30 Apr 2022,1340.5909,1091.2727,1346.4545,1346.4545
