category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Apr 2022,83.3714,24.0857,248.4571,74.3714
2 Apr 2022,118.4211,41.5263,215.5789,124
3 Apr 2022,67.9,29.5,131.05,73.45
4 Apr 2022,69.4412,20.8824,175.1765,75.4412
5 Apr 2022,78.4783,16.7609,262.4565,62.3261
6 Apr 2022,97.5556,17.8148,282.963,97.3333
7 Apr 2022,106.0698,22.6279,302.2326,96.9302
8 Apr 2022,88.6154,20.7692,213,99.0769
9 Apr 2022,41.8182,19.0455,100.3182,37.1364
10 Apr 2022,145.9,54.3,255.85,158.35
11 Apr 2022,96.6667,27.9722,212.25,99.2222
12 Apr 2022,70.169,23.9296,167.7887,73.0423
13 Apr 2022,56.75,18.75,152.75,39.25
14 Apr 2022,88.9787,39.0426,145.6809,94.9149
15 Apr 2022,42.3514,16.8919,72.7838,42.6757
16 Apr 2022,32.8,15.8,56.4,33.6
17 Apr 2022,52.4,19.8,86.4,62.3
18 Apr 2022,77,30.2857,135.7381,84.5
19 Apr 2022,79.0435,31.2029,134.9275,80.971
20 Apr 2022,76.3836,22.4384,179.589,78.7945
21 Apr 2022,53.7234,18.0213,134.7447,46.3191
22 Apr 2022,69.4118,16.7647,172.8824,81.5588
23 Apr 2022,44.2857,16.8571,93.2857,57
24 Apr 2022,33.4545,15.0303,100.1212,31.3636
25 Apr 2022,82.1059,22.4118,202.1176,85.1294
26 Apr 2022,82.3514,17.1892,258.7568,57.2703
27 Apr 2022,97.4194,17.7742,290.7419,94.9032
28 Apr 2022,63.9512,14.5122,185.0732,50.2195
29 Apr 2022,102.1538,32.0577,207.5192,107.3462
30 Apr 2022,64.5,27.3182,118.4091,59.5455
