category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Feb 2022,0,0,0,0
2 Feb 2022,0,0,0.0556,0
3 Feb 2022,0,0,0.0208,0
4 Feb 2022,0,0,0.1538,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0,0,0.0455,0.0227
8 Feb 2022,0,0,0.0656,0
9 Feb 2022,0,0,0.0566,0
10 Feb 2022,0,0,0.0563,0
11 Feb 2022,0,0,0.1176,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,0,0,0.1111,0
15 Feb 2022,0,0,0.1667,0.0714
16 Feb 2022,0,0,0,0
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0,0,0.0882,0
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0,0,0.1277,0.0213
25 Feb 2022,0,0,0.075,0
26 Feb 2022,0.0313,0,0.375,0.125
27 Feb 2022,0,0,0.0816,0
28 Feb 2022,0,0,0.0625,0
