category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Feb 2022,572609.9091,256122.8182,798367.3636,607730.6364
2 Feb 2022,423143.8611,202508.2222,541189.8333,427114.3889
3 Feb 2022,407138.5833,157848.5,590815.4167,401653.2917
4 Feb 2022,655504.1538,295517.8462,756125.8462,686684.3077
5 Feb 2022,611871.1935,87822.1935,672772,671783.2258
6 Feb 2022,1470465.2771,64360.8193,1882325.8313,1771125.5904
7 Feb 2022,683330.1364,92752.7273,970669.4545,754521.6364
8 Feb 2022,789772.3934,121480.1311,1026386.0984,916701.7377
9 Feb 2022,648964.3208,152847.4717,808907.4717,741017.5472
10 Feb 2022,526645.6056,137897.8592,687825.5775,559163.3521
11 Feb 2022,747497.5882,232390.3529,936240.9412,793871.7647
12 Feb 2022,337437,123269.8462,350411.5385,350132.1538
13 Feb 2022,328353.1176,98195.7647,354162.8235,353891.7647
14 Feb 2022,449259.8519,228096.7407,469057.4815,464325.9259
15 Feb 2022,431679.4524,196058.0952,528909.8095,450503.9048
16 Feb 2022,325578.7532,210895.2727,354306.2338,345978.9091
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,245806.0294,204864.2353,254819.0588,247804.4706
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,218514.5532,84157.1064,272439.5745,252741.7021
25 Feb 2022,145413.025,81779.5,168083.7,154071.7
26 Feb 2022,135353,64135.75,148796.875,143548.5
27 Feb 2022,440128.1224,101380,645640.4898,452303.4694
28 Feb 2022,654437.75,367629.125,674847.75,668427.75
