category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Feb 2022,84841.2045,44470.1136,185618.6364,77415.4773
2 Feb 2022,56725.6111,17919.7222,157850.0972,64759.1806
3 Feb 2022,79730.8571,31376.8163,192940.3673,96125.0204
4 Feb 2022,59589.7692,21234.6923,181948.3846,48358.1538
5 Feb 2022,202452.5484,98147.2258,523232.1935,223757.9677
6 Feb 2022,441499.2976,224650.7262,921479.4881,548845.2857
7 Feb 2022,365689.6279,184849.5814,742964.4419,479842.186
8 Feb 2022,346643.4918,172782.3607,705579.5246,486113.6066
9 Feb 2022,322337.0577,151235.75,642923.8462,427021.1538
10 Feb 2022,225570.7887,107227.8028,465452.4648,300486.0986
11 Feb 2022,123576.5,33923.875,253120.6875,145630
12 Feb 2022,147823.7308,57068.5385,281587.9615,151421.2308
13 Feb 2022,119819.1765,40270.5294,265762.5294,112501.7059
14 Feb 2022,115940.0926,45536.9444,254218.537,127008.6296
15 Feb 2022,125780.175,52862.9,274680.9,121193.55
16 Feb 2022,139117.0385,55440.2564,301161.1667,132562.7179
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,140414.0294,54172.6765,330085.4706,163261.2647
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,275846.3778,119042.9556,556529.6444,266266.5111
25 Feb 2022,242508.8718,98867.8974,479698.0256,246345.2308
26 Feb 2022,312274.0323,133581.4839,560825.5161,368407.5484
27 Feb 2022,261175.8824,120848.451,476925.6667,265623.451
28 Feb 2022,43604.2581,14939.5484,116331.3871,42292.1613
