category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Feb 2022,24420.9773,3483.0455,64123.4545,29268.9773
2 Feb 2022,22982.5417,4508.2917,53851.5556,29601.2361
3 Feb 2022,22054.4792,4276.3125,56379.0417,25353.2917
4 Feb 2022,36802.6154,9925.0769,82559.1538,40597.0769
5 Feb 2022,31822.6452,7376.2258,98342.4516,31808.3226
6 Feb 2022,49285.3855,13199.2771,128709.5542,47888.4699
7 Feb 2022,58224.6136,18994.9773,147139.9318,50009.1364
8 Feb 2022,44630.4426,14750.623,101326.2951,46283.918
9 Feb 2022,21709.4528,7187.717,55075.283,19689.0189
10 Feb 2022,31902.6761,7482.4366,78483.1549,34593.9577
11 Feb 2022,28167.6471,5311.7647,81482,38878.6471
12 Feb 2022,20359.4231,6395.3462,53740.0769,21676.9231
13 Feb 2022,18683,5007,55517.8824,13215.8824
14 Feb 2022,14564,4448.1481,38331.3333,12946.3519
15 Feb 2022,29995.0238,6174.2143,85075.2381,24798.5714
16 Feb 2022,22575.1169,6638.9481,58738.6364,19943.8831
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,21394.3824,5583.9412,54968.0294,26348.2647
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,43460.8936,13612.9362,120705.3404,37299.2128
25 Feb 2022,36560.85,13236.375,93754.275,35480.45
26 Feb 2022,49220.25,14851.625,123562.875,42384.3125
27 Feb 2022,27791.7551,9934.1633,58010.3673,28214.4694
28 Feb 2022,10810.25,1877.3438,30886.125,11293.9063
