category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Feb 2022,3.0909,3.0909,3.0909,3.0909
2 Feb 2022,3,3,3,3
3 Feb 2022,3,3,3,3
4 Feb 2022,3,3,3,3
5 Feb 2022,3,3,3,3
6 Feb 2022,3,3,3,3
7 Feb 2022,3,3,3,3
8 Feb 2022,3,3,3,3
9 Feb 2022,3,3,3,3
10 Feb 2022,3,3,3,3
11 Feb 2022,3,3,3,3
12 Feb 2022,3,3,3,3
13 Feb 2022,3,3,3,3
14 Feb 2022,3,3,3,3
15 Feb 2022,3,3,3,3
16 Feb 2022,3,3,3,3
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,3,3,3,3
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,3.0213,3.0213,3.0213,3.0213
25 Feb 2022,3,3,3,3
26 Feb 2022,3,3,3,3
27 Feb 2022,3,3,3,3
28 Feb 2022,3,3,3,3
