category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Feb 2022,444.1364,31.9545,911.6818,454.9091
2 Feb 2022,316.2083,16.7917,645.7361,314.4167
3 Feb 2022,281.5306,21.1837,537.2653,294.4898
4 Feb 2022,105.6923,5.3077,217.3846,110.6154
5 Feb 2022,17.2903,1.7742,45.3548,13.1935
6 Feb 2022,18.1667,0,64.6071,7.0714
7 Feb 2022,43.3023,1.0233,111.9535,35.5581
8 Feb 2022,29.7213,0.5574,83.7705,22.2623
9 Feb 2022,82.7308,0.5,249.6154,73.6538
10 Feb 2022,92.2817,0.0845,209.6338,97.3099
11 Feb 2022,9.75,0.25,36.25,7.6875
12 Feb 2022,3.1154,0.1154,8.5769,2.2692
13 Feb 2022,1.5294,0,3.8824,1.5294
14 Feb 2022,308.0556,13.8519,716,282.6481
15 Feb 2022,273.05,14.85,623.3,273.525
16 Feb 2022,256.3974,0.2436,603.6795,274.9872
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,247.2059,0.5882,601.8235,230.0882
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,34.6444,1.8667,88.4444,23.4889
25 Feb 2022,77.359,0.0769,177.2821,74.7436
26 Feb 2022,6.0645,0,16.7742,5.8065
27 Feb 2022,5.7059,0.0588,16,5.4118
28 Feb 2022,372.2258,5.4194,878.7097,402.8387
