category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Feb 2022,1.5227,0,2.3864,1.6364
2 Feb 2022,2.1667,0.0972,3.7083,2.3889
3 Feb 2022,1.8333,0.0417,2.875,1.9583
4 Feb 2022,2.2308,0.0769,4,2.3846
5 Feb 2022,0.8387,0,1.2258,0.9355
6 Feb 2022,0.1446,0,0.1807,0.1446
7 Feb 2022,0.8636,0.0227,1.5,0.8409
8 Feb 2022,0.7213,0,1.4754,0.7377
9 Feb 2022,1.0566,0.0377,2.0189,1.0755
10 Feb 2022,1.5634,0,2.6338,1.7324
11 Feb 2022,1.9412,0.0588,3.4706,2
12 Feb 2022,0.9231,0,1.2692,1.0385
13 Feb 2022,1.1765,0,1.4118,1.2941
14 Feb 2022,1.9815,0.1667,3.7778,2.0926
15 Feb 2022,2.8095,0.2619,4.7857,3
16 Feb 2022,1.2338,0.1558,2.0519,1.2857
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,2.1176,0.0294,4.7941,2.0882
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,1.4255,0.0638,2.5745,1.5106
25 Feb 2022,0.95,0.1,1.9,0.9
26 Feb 2022,0.625,0,1.4063,0.7188
27 Feb 2022,0.449,0,0.7143,0.3878
28 Feb 2022,1.6563,0.0938,3.4688,1.8438
