category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Feb 2022,11303811.9545,1608747.8182,21848952.9091,11440885.6591
2 Feb 2022,9745780.0694,1003581.75,19515385.9722,9824784.6528
3 Feb 2022,9338823.4694,937813.9796,18564548.3469,9502391.1633
4 Feb 2022,8692696.8462,520439.7692,18182840.0769,8796296.2308
5 Feb 2022,6763481.5806,215422.1613,16045778.4839,6341942.6774
6 Feb 2022,2556585.9762,13598.8571,7374513.6429,2080155.5595
7 Feb 2022,3666104.0233,67601.9302,9393552.814,3270120.7209
8 Feb 2022,3773630.8361,118801.0656,9191062.0492,3504295.2951
9 Feb 2022,4517905.8077,117999.3846,10630607.9231,4296155.8269
10 Feb 2022,4865067.169,192622.7183,11225931.0845,4665914.5211
11 Feb 2022,4694559.4375,204808.5,10864493.125,4471722.1875
12 Feb 2022,2439036.5,132857.1538,5372841.1538,2445194.2308
13 Feb 2022,2284389.0588,97626.1176,5195320.3529,2107373.7647
14 Feb 2022,8594215.7037,393815,18189504.1852,8758245.7037
15 Feb 2022,6916875.85,296919.6,14292994.5,7231224.725
16 Feb 2022,7467184.6538,466441.8462,15214938.2564,7825775.9744
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,7993056.7941,398767.2353,16681300.5294,8275746.3824
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,2594435.4,82443.8444,6245390.6444,2447410.5333
25 Feb 2022,4653170.359,202255.8205,10227509.8718,4660242.9231
26 Feb 2022,2317078.0323,30620.9355,5718691.129,2220488.1935
27 Feb 2022,2488045.3333,77287.3529,5850314.2941,2464907.5294
28 Feb 2022,10516725.3548,650297.5806,21782399.6452,10955808.8387
