category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Feb 2022,1144.3636,785,1569.0455,1154.25
2 Feb 2022,1157.5833,785,1587.2639,1169.6667
3 Feb 2022,1160.7143,785,1587.8367,1173.0816
4 Feb 2022,1144.6923,785,1544.2308,1157.4615
5 Feb 2022,1134.0645,785,1541.5484,1144.4839
6 Feb 2022,959.881,785,1191.7738,967.2857
7 Feb 2022,985.6744,785,1253.907,985.186
8 Feb 2022,980,785,1237.2787,986.6557
9 Feb 2022,998.1154,792.2885,1263.1923,1000.7885
10 Feb 2022,1073.9296,797.6197,1417.8873,1076.4648
11 Feb 2022,1110.9375,785,1495.875,1115.6875
12 Feb 2022,1100.2308,785,1468.3077,1114.1154
13 Feb 2022,1170.8235,812.1176,1586.2353,1171.7647
14 Feb 2022,1079.5556,785,1440.3889,1081.5
15 Feb 2022,1051.45,785,1383.075,1055.4
16 Feb 2022,1055.6538,785,1395.3974,1063.2308
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1044.6471,785,1373.8824,1043.6176
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,979.6889,785,1258.1333,976.8222
25 Feb 2022,1009.1282,785,1292.359,1011.1282
26 Feb 2022,991.5806,785,1264.0968,993.6129
27 Feb 2022,1031.4706,785,1349.9216,1043.1765
28 Feb 2022,1090.129,785,1459.6774,1106.5484
