category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Feb 2022,3538757.1364,515820.7727,6177122.7727,3637324.0909
2 Feb 2022,2921493.0833,381339.6667,5192579.3333,3031519.2083
3 Feb 2022,2742976.0417,279496.8333,4872750.4583,2818973.5
4 Feb 2022,2727643.5385,345488.0769,4591091.1538,2769734.5385
5 Feb 2022,1613570.7419,36302.2258,2893660.1613,1720622.6129
6 Feb 2022,2630271.0241,7942.0843,5491988.3012,2743220.4458
7 Feb 2022,1446024.0682,34092.5,2784192.3409,1483065.7045
8 Feb 2022,1793723.8852,80817.7869,3587115.2295,1842973.5902
9 Feb 2022,1549885.5283,103391.0943,2905270.3019,1602060.566
10 Feb 2022,1284690.5493,104830.3521,2268572.1549,1303938.5493
11 Feb 2022,2961672.7647,273197.7059,5389521.1765,3049888.8824
12 Feb 2022,1257944.4231,73216.1538,2219570.7692,1319328.3462
13 Feb 2022,1348038.8824,55499.7647,2521838.9412,1432352.7647
14 Feb 2022,2556938.7037,273891.6296,4657534.4815,2595006.2037
15 Feb 2022,2147130.9762,260292.7619,3804415.2381,2228122.9524
16 Feb 2022,1818156.6234,296296.9481,3214775.4026,1835637.8571
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1778819.1176,221766.8824,3129433.3529,1821502.2353
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,419172.3404,32368.1064,702269.8936,465022.5532
25 Feb 2022,782720.75,49651.45,1438202.1,817387.075
26 Feb 2022,234835.875,6453.9375,383164.75,249742.1875
27 Feb 2022,1109405.0408,63224.8776,1901527.1837,1178165.102
28 Feb 2022,3692597.25,488146.875,6613007.2813,3745267.3438
