category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Feb 2022,2557.4545,378.6136,4455.0682,2628.4773
2 Feb 2022,2123.625,282.0556,3767.9444,2204.0833
3 Feb 2022,2003.75,211.75,3555.3542,2058.1458
4 Feb 2022,1992.9231,258.3846,3354.9231,2020.6923
5 Feb 2022,1225.3871,38,2187.7742,1305.5806
6 Feb 2022,2000.9036,14.5663,4133.3253,2083.8554
7 Feb 2022,1089.2955,34.6591,2083.25,1114.3864
8 Feb 2022,1353.7049,67.623,2689.1639,1389.1148
9 Feb 2022,1157.1321,85.2075,2161.4906,1194.0755
10 Feb 2022,964.4789,85.9155,1698.1127,979.8028
11 Feb 2022,2178.6471,209.0588,3959.4118,2242.1765
12 Feb 2022,959.6154,64.6154,1685.7308,1005.8462
13 Feb 2022,1027.2941,51.0588,1910.4706,1090.6471
14 Feb 2022,1855.1296,207.6481,3372.5556,1882.9259
15 Feb 2022,1572.1667,197.2381,2779.7857,1630.5
16 Feb 2022,1328.8182,222.7792,2344.3766,1341.8442
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1301.1765,169.8529,2287.4706,1331.9118
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,333.2128,33.5957,555.3617,366.0213
25 Feb 2022,591.35,45.125,1082.575,616.275
26 Feb 2022,205.125,14.5625,332.1875,218.375
27 Feb 2022,856.5918,58.551,1467.2041,906.6939
28 Feb 2022,2660.9375,360.1563,4758.9375,2699.125
