category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Feb 2022,91286.9773,454.5455,299454.5455,88863.6364
2 Feb 2022,166.6667,166.6667,166.6667,166.6667
3 Feb 2022,9215.4082,326.5306,32244.898,13387.7551
4 Feb 2022,0,0,0,0
5 Feb 2022,394208.1935,0,990709.6774,375161.2903
6 Feb 2022,312059.1548,0,768095.2381,323547.619
7 Feb 2022,101684.7907,0,216279.0698,106976.7442
8 Feb 2022,106329.2295,0,221508.1967,109377.0492
9 Feb 2022,93999.25,538.4615,202384.6154,93769.2308
10 Feb 2022,44671.7042,450.7042,88000,62873.2394
11 Feb 2022,0,0,0,0
12 Feb 2022,8179.5,0,14769.2308,12153.8462
13 Feb 2022,0,0,0,0
14 Feb 2022,18129.9074,1185.1852,21851.8519,21851.8519
15 Feb 2022,17054.925,800,34900,9800
16 Feb 2022,20147.1282,1230.7692,29692.3077,26512.8205
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,4918.5294,470.5882,8000,8000
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,47195.4889,0,101955.5556,47555.5556
25 Feb 2022,23778.7179,0,32717.9487,32717.9487
26 Feb 2022,54937.6452,0,77419.3548,77419.3548
27 Feb 2022,20605.7451,0,26823.5294,26823.5294
28 Feb 2022,4862.5161,0,5677.4194,5677.4194
