category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Feb 2022,50.2955,5.9091,94.5,51.6364
2 Feb 2022,50.375,5.8611,94.1944,51.4861
3 Feb 2022,50.7708,5.9583,94.75,52.3333
4 Feb 2022,48.3846,5.9231,90.5385,49.6154
5 Feb 2022,49.0968,5.7742,93,50.3871
6 Feb 2022,46.7831,5.3494,89.8434,47.4819
7 Feb 2022,46.3636,5.5682,88.4091,46.6818
8 Feb 2022,47.7705,5.6066,90.8525,49.0984
9 Feb 2022,47.8491,5.6226,90.8302,48.8868
10 Feb 2022,48.5915,5.6056,91.5634,49.8028
11 Feb 2022,46.5294,5.8235,86.8824,47.6471
12 Feb 2022,49.0385,5.9615,92.0385,50.0769
13 Feb 2022,50.8235,5.8235,95.0588,51.8824
14 Feb 2022,49.2963,5.9074,92.9444,50.2778
15 Feb 2022,50.3571,5.7857,93.9762,50.9048
16 Feb 2022,48.8961,5.9481,91.8701,49.8571
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,46.8235,5.8529,88.1176,47.9706
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,48.1064,5.7234,91.0638,49.383
25 Feb 2022,48.275,5.725,91.4,48.5
26 Feb 2022,46.4688,5.5625,88.75,47.9063
27 Feb 2022,49.1224,5.7959,93.4898,50.4082
28 Feb 2022,49.875,5.9375,93.8438,51.25
