category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Feb 2022,12060906.2273,1750773.9091,23269933.7727,12223264.1136
2 Feb 2022,10289802.5556,1119997.3333,20507265.2222,10372167.0417
3 Feb 2022,9841958.102,1067970.4694,19436333.2857,10033189.898
4 Feb 2022,8996537.1538,632443.2308,18652485.2308,9100774
5 Feb 2022,7150584.9677,292488.3548,16500272.871,6859433.7419
6 Feb 2022,3048774.9286,38052.5714,8087094.2143,2777462.5476
7 Feb 2022,4215236.814,102108.907,10239309.2326,4136374.6977
8 Feb 2022,4199368.5574,161832.8852,9823111.4426,4137643.8852
9 Feb 2022,4961019.0962,158260.0962,11375199.6731,4899529.3077
10 Feb 2022,5247865.8873,252964.9718,11821850.493,5172239.5211
11 Feb 2022,4819960.4375,263307,11022484.625,4610727.25
12 Feb 2022,2523800.8462,187164.8462,5441079.1538,2537865.1923
13 Feb 2022,2349305.7059,141851.7647,5256238.7059,2170889.4118
14 Feb 2022,9248679.1667,508497.5556,19390509.6667,9401189.5926
15 Feb 2022,7418804.925,394464.7,15271482.2,7724034.575
16 Feb 2022,7959914.9231,558730.9744,16172238.3333,8338674.1923
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,8538593.2941,484656.0882,17689695.0882,8807544.7059
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,2869396.6,140249.4667,6628863.7778,2706688.0889
25 Feb 2022,4996814.0256,253859.0513,10728774.8462,5003317.9487
26 Feb 2022,2541518.9032,70337.1935,6013569.2581,2469664.0323
27 Feb 2022,2666299.8824,133019.2353,6060980.9216,2666687.6863
28 Feb 2022,11177391.1613,772536.2581,23146556.2581,11633826.7742
