category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Feb 2022,30304.6364,4757,55838.25,30936.7045
2 Feb 2022,29985.6111,4818.1944,55326.0972,30549.9028
3 Feb 2022,30120.6458,4775.6667,55523.9792,30798.7708
4 Feb 2022,29271.8462,4757,53844.0769,29613.3077
5 Feb 2022,30132.129,4757,55550.7419,30654.8387
6 Feb 2022,30002.3012,4757,55342.494,30622.988
7 Feb 2022,29923,4757,55146.8864,30182.3409
8 Feb 2022,30183.4426,4757,55650.623,30810.9508
9 Feb 2022,29896.9245,4711.283,55097.0377,30420.566
10 Feb 2022,29594.0423,4639.7324,54540.0563,30071.662
11 Feb 2022,28059.3529,4839.3529,51219.9412,28706.1765
12 Feb 2022,29604.7692,4757,54501.1154,30042.3846
13 Feb 2022,30273.2941,4512.1176,56073.7059,30813.8235
14 Feb 2022,30952.463,4970.9815,56887.9815,31645.2593
15 Feb 2022,31582.5714,5032.119,58124.6667,32021.9524
16 Feb 2022,29613.1039,4902.8571,54385.6623,30087.2987
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,28511.1471,4798.1765,52633.1765,29092.1471
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,29897.0638,4768.5106,55061.383,30596.5957
25 Feb 2022,29912.4,4831.025,55118.225,30334.675
26 Feb 2022,29564,4757,54589.1563,30374.5625
27 Feb 2022,30403.4286,4757,56141.1429,31017.551
28 Feb 2022,30566.5,4855.5938,56633,31422.8438
