category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Feb 2022,0.0227,0,0.0227,0.0227
2 Feb 2022,0.7083,0.0278,2.2083,0.1944
3 Feb 2022,0,0,0,0
4 Feb 2022,3.3077,0.7692,4.5385,3.7692
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0.5581,0.0465,0.907,0.907
8 Feb 2022,0.1967,0,0.459,0.3279
9 Feb 2022,2.4231,0,4,3.4423
10 Feb 2022,0.1268,0,0.2817,0.0986
11 Feb 2022,1.625,0,2.6875,1.8125
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,1.9444,0.0185,4.4815,1.6481
15 Feb 2022,0.4,0,1.525,0.075
16 Feb 2022,0.3846,0.0641,1.2051,0.4231
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,5.6176,0.0882,11.4706,6.7353
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.1333,0.0889,0.2444,0.1111
25 Feb 2022,0.6667,0,0.9231,0.9231
26 Feb 2022,0,0,0,0
27 Feb 2022,0,0,0,0
28 Feb 2022,3.2258,0.0323,6,4.7419
